timestamp,machine_id,container_class,git_sha,outer_jobs,profile_base_sha,enforcement_kind,runner_name,run_id,step,inner_jobs,sample_index,sample_kind,elapsed_s,interval_s,cpu_usage_s,user_s,sys_s,effective_cores,user_cores,system_cores,throttled_s,interval_throttled_s,thread_count,sweep_id,sweep_logical_cpus,sweep_mode,sweep_pass,sweep_physical_cores,sweep_repeat,sweep_sample,sweep_target_s,sweep_width_source,workload_digest
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,0,start,0.001080,,0.000000,0.000000,0.000000,,,,0.000000,,0,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,1,periodic,0.250661,0.249581,1.560462,1.061679,0.498782,6.2523,4.2538,1.9985,0.000000,0.000000,40,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,2,periodic,0.500606,0.249945,3.054949,2.465654,0.589294,5.9793,5.6171,0.3621,0.000000,0.000000,31,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,3,periodic,0.750340,0.249734,4.749257,4.084514,0.664743,6.7845,6.4823,0.3021,0.000000,0.000000,25,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,4,periodic,1.000499,0.250159,6.396563,5.613692,0.782870,6.5850,6.1128,0.4722,0.000000,0.000000,34,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,5,periodic,1.250501,0.250002,7.084509,6.247962,0.836546,2.7518,2.5371,0.2147,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,6,periodic,1.500512,0.250011,7.333173,6.487613,0.845560,0.9946,0.9586,0.0361,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,7,periodic,1.750318,0.249806,7.752401,6.848725,0.903676,1.6782,1.4456,0.2326,0.000000,0.000000,12,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,8,periodic,2.000464,0.250146,8.241445,7.321063,0.920381,1.9550,1.8883,0.0668,0.000000,0.000000,12,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,9,periodic,2.250418,0.249954,8.813580,7.847540,0.966040,2.2890,2.1063,0.1827,0.000000,0.000000,12,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,10,periodic,2.500626,0.250208,10.030719,9.015985,1.014734,4.8645,4.6699,0.1946,0.000000,0.000000,30,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,11,periodic,2.750333,0.249707,11.211352,10.158045,1.053306,4.7281,4.5736,0.1545,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,12,periodic,3.000741,0.250408,13.507596,12.380903,1.126693,9.1700,8.8769,0.2931,0.000000,0.000000,17,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,13,periodic,3.250530,0.249789,13.887134,12.736475,1.150659,1.5194,1.4235,0.0959,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,14,periodic,3.500543,0.250014,14.133846,12.980199,1.153647,0.9868,0.9748,0.0120,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,15,periodic,3.750293,0.249749,14.379502,13.222865,1.156637,0.9836,0.9716,0.0120,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,16,periodic,4.000598,0.250305,14.626622,13.466959,1.159663,0.9873,0.9752,0.0121,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,17,periodic,4.250459,0.249861,14.872315,13.707694,1.164620,0.9833,0.9635,0.0198,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,18,periodic,4.500504,0.250045,15.118696,13.946163,1.172533,0.9853,0.9537,0.0316,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
